ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
179;Chrysophyllum argenteum;Sapotaceae;Chrysophyllum;Jacq.;http://www.tropicos.org/Name/28700667;tree;NA;NA;NA;1;NA;NA;NA;NA;1;1;NA;681;208;199336925;8;NA;NA;0;NA;NA;Least Concern;2021;NA;VU;VU;VU;VU;VU;VU;VU;GS;NA;NA
180;Chrysophyllum cuneifolium;Sapotaceae;Chrysophyllum;(Rudge) A. DC.;http://www.tropicos.org/Name/28701052;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;515;97;42006202;8;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;EN;EN;EN;EN;CR;CR;GS;NA;NA
181;Chrysophyllum gonocarpum;Sapotaceae;Chrysophyllum;(Mart. & Eichler ex Miq.) Engl.;http://www.tropicos.org/Name/28700706;tree;1;NA;NA;NA;NA;NA;1;NA;1;NA;NA;87;23;49584310;8;NA;NA;0;NA;NA;Least Concern;2020;EN;CR;CR;CR;CR;CR;CR;CR;WAS;NA;NA
182;Chrysophyllum lucentifolium;Sapotaceae;Chrysophyllum;Cronquist;http://www.tropicos.org/Name/28700727;tree;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;478;101;116742380;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;VU;EN;SA;NA;NA
183;Chrysophyllum pomiferum;Sapotaceae;Chrysophyllum;(Eyma) T.D. Penn.;http://www.tropicos.org/Name/28700974;tree;NA;NA;NA;NA;1;NA;1;NA;1;1;1;293;142;112959381;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
184;Chrysophyllum prieurii;Sapotaceae;Chrysophyllum;A. DC.;http://www.tropicos.org/Name/28700581;tree;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;1048;280;331254135;9;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;CA;NA;NA
185;Chrysophyllum sanguinolentum;Sapotaceae;Chrysophyllum;(Pierre) Baehni;http://www.tropicos.org/Name/28700879;tree;NA;NA;1;NA;1;NA;NA;NA;1;1;NA;2185;390;755576452;9;1;2;0.27;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;NA;NA
186;Chrysophyllum venezuelanense;Sapotaceae;Chrysophyllum;(Pierre) T.D. Penn.;http://www.tropicos.org/Name/28700725;tree;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;378;119;80900050;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;NA;NA
187;Cinchona calisaya;Rubiaceae;Cinchona;Wedd.;http://www.tropicos.org/Name/27900154;tree;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
188;Citharexylum macrophyllum;Verbenaceae;Citharexylum;Poir.;http://www.tropicos.org/Name/33700130;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;10;5;7906938;7;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;EN;EN;VU;EN;SA;NA;NA
